iter	Passed	Remaining
0	131	131045
1	331	165602
2	455	151350
3	561	139754
4	677	134806
5	805	133407
6	925	131248
7	1122	139161
8	1262	139017
9	1434	142003
10	1583	142334
11	1792	147562
12	2006	152348
13	2159	152105
14	2270	149075
15	2362	145300
16	2472	142972
17	2585	141041
18	2674	138086
19	2866	140462
20	3072	143220
21	3138	139519
22	3240	137648
23	3299	134196
24	3340	130269
25	3400	127393
26	3463	124812
27	3537	122794
28	3601	120573
29	3693	119415
30	3760	117533
31	3836	116046
32	3903	114395
33	3978	113024
34	4042	111465
35	4107	109982
36	4217	109773
37	4296	108773
38	4362	107500
39	4429	106304
40	4494	105127
41	4559	103992
42	4617	102758
43	4675	101594
44	4739	100591
45	4808	99724
46	4876	98885
47	4938	97940
48	4983	96727
49	5053	96012
50	5116	95197
51	5192	94667
52	5267	94120
53	5334	93449
54	5404	92862
55	5474	92277
56	5535	91575
57	5607	91077
58	5674	90509
59	5740	89941
60	5806	89384
61	5877	88918
62	5945	88421
63	6010	87908
64	6082	87491
65	6157	87134
66	6221	86634
67	6297	86314
68	6366	85899
69	6434	85490
70	6501	85073
71	6567	84642
72	6626	84152
73	6699	83835
74	6762	83405
75	6828	83014
76	6893	82631
77	6960	82280
78	7035	82024
79	7103	81684
80	7177	81438
81	7247	81139
82	7310	80771
83	7387	80562
84	7463	80339
85	7528	80013
86	7595	79707
87	7664	79430
88	7733	79157
89	7806	78934
90	7876	78680
91	7941	78381
92	8000	78025
93	8078	77867
94	8154	77679
95	8214	77353
96	8310	77369
97	8389	77220
98	8452	76930
99	8522	76699
100	8584	76409
101	8619	75885
102	8684	75629
103	8746	75353
104	8813	75121
105	8880	74901
106	8953	74727
107	9015	74461
108	9075	74187
109	9140	73957
110	9215	73806
111	9279	73574
112	9349	73387
113	9434	73326
114	9503	73133
115	9575	72968
116	9641	72766
117	9719	72647
118	9856	72969
119	10001	73341
120	10101	73383
121	10249	73761
122	10356	73841
123	10423	73639
124	10488	73422
125	10567	73298
126	10628	73060
127	10682	72776
128	10754	72616
129	10817	72394
130	10883	72196
131	10945	71974
132	11012	71785
133	11084	71638
134	11146	71421
135	11213	71238
136	11282	71069
137	11343	70853
138	11418	70726
139	11493	70605
140	11573	70505
141	11625	70243
142	11695	70093
143	11762	69919
144	11829	69751
145	11895	69582
146	11950	69344
147	12014	69163
148	12076	68974
149	12154	68873
150	12261	68941
151	12334	68810
152	12407	68689
153	12472	68517
154	12535	68337
155	12599	68164
156	12663	67993
157	12711	67739
158	12777	67582
159	12836	67390
160	12858	67009
161	12926	66868
162	12996	66738
163	13066	66605
164	13133	66465
165	13200	66321
166	13268	66181
167	13331	66024
168	13403	65907
169	13473	65783
170	13538	65635
171	13604	65490
172	13672	65360
173	13739	65225
174	13798	65052
175	13859	64889
176	13931	64776
177	13998	64643
178	14063	64505
179	14146	64443
180	14205	64278
181	14270	64136
182	14346	64047
